,heart1,noise1,muscskel1,heart2,organs1,organs2,msucskel2,muscskel3,heart3,bladder1,organs3,bladder2,organs4,organs5,muscskel4,heart4,muscskel5,organs6,organs7,organs8
12,5.78846299648285,25.98305439906089,27.52748134577413,5.878110492229462,9.517443615943197,9.860462858155353,10.889242792249515,29.07920334218074,4.988002634048461,0.1851344176795948,9.300353264575827,0.5069223599709624,7.834621715773206,3.582995960116388,20.644341607855804,3.3629958793520935,14.119696129570139,20.787294054031374,5.612385947257279,9.762330959551036
13,4.901519787311556,28.332608817872558,26.347838766779727,5.349392548203469,8.132759322226045,9.79582701697945,10.98215931843984,28.526865402050362,4.204849070310592,0.19047634926973847,10.644895720318912,0.4852982348975407,8.006639335493503,3.0822856418788427,20.04884262531051,2.9855141215026375,15.02481493637229,19.236043750494733,4.829165843129157,8.762736343964944
14,3.817544785141946,33.62408852541444,23.964558063575467,4.201604141294957,6.636473726294926,9.13891526572405,11.375191717042881,27.18897089622921,3.2412216089665904,0.15568309074112535,12.628090507630278,0.43402673762066113,7.803902391237972,2.4709716372191926,19.0204381500971,2.3731361329555516,16.262946575748952,16.807761035952716,3.7422852281481025,7.220275710243726
15,3.3980392575263973,36.03396334809689,24.248166352271753,3.7699008285999307,6.347589786909514,9.200406007282437,11.912641302448122,27.05160388289959,2.8390832170844083,0.1345035567821469,15.823151393048496,0.3687068480976877,7.52796938829123,2.390206055715681,20.295595536263168,2.1821725688874722,18.566668827773647,15.632638464961202,3.364024510607125,6.845805784175169
16,3.1799593195319202,33.396798867065826,22.660080507677016,3.472075110673906,5.865085582621393,8.853478061407804,12.71630664432839,25.800607272237635,2.383812813460826,0.12688067894706592,19.647771673277056,0.3665665731896923,7.316293496548319,2.337739598006011,19.9788956461474,2.0595260776579383,18.9091451251076,13.927549000456954,3.0625807419419298,6.826645705476411
17,3.322362747788431,35.211176801019754,23.191910371184317,3.690763337910176,6.164182507619261,9.184117684140805,13.94282293176549,25.77463038079445,2.3189666412770755,0.16287888066286768,23.05903389714663,0.4215919386863476,7.579852761489763,2.1828652650117872,20.774638822819455,2.091116388142109,20.809781631634426,12.83260597325863,3.0541137505322697,7.049714275263251
18,3.4821675777435295,37.660972511721674,24.065806773630893,3.856019838154317,6.292445824667807,9.734276357293123,14.819055756443012,26.917637884430672,2.321489220112562,0.15317844368222783,23.857099823653733,0.3954393360656126,8.177887963480316,2.250770896300673,22.441538662348375,2.1728645354509357,22.76889947977686,12.6630152974278,3.1206872574985027,7.229337460920217
19,3.4548593431711194,38.34235140788741,24.09042546348643,3.864424926042558,6.217172361537807,9.80614520013332,15.152355553042838,26.585001778975187,2.233194565027952,0.1641861421454436,23.219047164916972,0.4044175294462874,8.281598929455503,2.1574558828026063,22.924857646437182,2.2219148099422465,23.798600906401667,12.244518968835473,3.1177284888923174,7.4181631835177555
20,3.47617817670107,38.85823800261541,24.043481370061595,3.864939245581627,5.986672105640173,9.798091831058269,15.191123424958423,26.576062988489955,2.163361795991659,0.1634278477809062,22.732557645067565,0.3769300978947695,8.39408576342903,2.160639442875982,23.20862000479238,2.210417458415031,24.77106271113733,11.95373950973154,3.0577891997993008,7.014907562453299
21,3.4582749024033546,39.1017923485673,23.959948937687958,3.976953239738942,5.944086931087072,9.991591760888687,15.199435540469567,26.70985865481205,2.1252268560230734,0.13746350927063988,21.977862635999955,0.3439857702351216,8.478579751902322,2.2095675352960824,23.383361230678542,2.179421038925648,25.27623228585526,11.618011743016524,2.9781474955379963,6.980568313668484
